action,title,body,labels
closed,error building package zlib x64 windows static failed with build failed,package zlib x64 windows static vcpkg version debug,needs-repro
closed,pagination bug when removing an item,"reported by a pro user if for exemple we have a table with 10 items per page and we have 11 items in it if we go to the second page and then remove that last item the table display an empty list (without any empty message from the template and the paginator is showing that we are on page 1 but if we click on the paginator's left arrow, then the table is displayed correctly when there is no more items on the current page the paginator should go to the previous page and display the items correctly",enhancement
closed,helm podantiaffinity templating error,"""**describe the bug**\r\n\r\nhelm charts fail to generate proper podantiaffinity.\r\n\r\nin my `values.yaml` file i define the following:\r\n\r\n```\r\nmixer:\r\n\r\n  podantiaffinitytermlabelselector:\r\n    - key: istio\r\n      operator: in\r\n      values: mixer\r\n      topologykey: kubernetes.io/hostname\r\n```\r\nand after running `helm template` i noticed it generates the following output:\r\n\r\n```\r\n        podantiaffinity:\r\n          preferredduringschedulingignoredduringexecution:\r\n          - podaffinityterm:\r\n              labelselector:\r\n                matchexpressions:\r\n                - key: istio\r\n                  operator: in\r\n              topologykey: kubernetes.io/hostname\r\n            weight: 100\r\n```\r\n\r\nhttps://github.com/istio/istio/blob/release-1.1/install/kubernetes/helm/istio/templates/_affinity.tpl#l83\r\n\r\nif i change `.value` in `.values` i get the expected output.\r\n\r\nthanks!\r\n\r\n**expected behavior**\r\n\r\n```\r\n        podantiaffinity:\r\n          preferredduringschedulingignoredduringexecution:\r\n          - podaffinityterm:\r\n              labelselector:\r\n                matchexpressions:\r\n                - key: istio\r\n                  operator: in\r\n                  values:\r\n                  - mixer\r\n              topologykey: kubernetes.io/hostname\r\n            weight: 100\r\n```\r\n\r\n**version**\r\nbranch: release-1.1\r\n\r\n**installation**\r\nhelm\r\n""",area environments
closed,quick chart resize does not honor limit values,"""**describe the bug**\r\nthe up and down arrows for tradingview chart size don't work.\r\n\r\n**to reproduce**\r\ngo to exchange and click on the arrows\r\n\r\n**expected behavior**\r\nchange size of tradingview\r\n\r\n**screenshots**\r\n![resize-chart](https://user-images.githubusercontent.com/40874087/55348399-6c0c3b00-54b7-11e9-8271-d0250aa01bad.png)\r\n\r\n**desktop (please complete the following information):**\r\n - mx-linux\r\n-  bitshares2-light_2.0.190410-rc1_amd64.deb\r\n\r\n**additional context**\r\ni didn't had the problem on linux mint (ubuntu), but the problem exists for a debian based linux. \r\n""",bug
closed,upgrade isort,"""we are using 4.3.4 but [isort[(https://pypi.org/project/isort/) 4.3.16 is the latest. might help with #2435 .""",good first issue
closed,configurable window of completion,"""from #146, not fixed: the window for completion of a given questionnaire should be configurable in the `protocol.json`, currently it is hardcoded. radar-base/radar-armt-protocols#7.\r\n\r\nthis is useful for one-time or long-time questionnaires like demographics, where the completion window can be the entire study or a few weeks and the questionnaire should remain until completed. it is also for customising the timeout for esm-style tests without hard-coding the timeouts in the app.""",feature
closed,add search counts to baseline ping,"""follow up on https://github.com/mozilla-mobile/fenix/issues/959#issuecomment-475394264\r\n\r\nbbinto update on april 1, 2019\r\n\r\nit was identified that some basic / core pings are not included \""for free\"" in the new glean sdk baseline ping. this ticket is about including the additional pings product wants to track\r\n\r\n#### description & product manager \r\n- as a product owner, i want to know how many searches have been conducted in fenix\r\n\r\n#### hypothesis\r\n- we believe that our app is most useful when users can and increase their searches\r\n\r\n#### what questions will you answer with this data?\r\n- how many searchers per user/day etc. have been triggered.\r\n\r\n#### why does mozilla need to answer these questions? are there benefits for users? do we need this information to address product or business requirements?\r\n- report on search counts as one of our main kpis\r\n\r\n#### what probes (suggested, if applicable)\r\n- search count, see row 27 in https://docs.google.com/spreadsheets/d/1p2_agee9otjm3x71d0gbhnhdhzxel02xehukn1no23e/edit#gid=0\r\n\r\n### dependencies (added by pm and eng)\r\n- core ping / baseline ping, see comment here\r\n\r\n### acceptance criteria (added by pm)\r\n- baseline pings can be queried via re:dash\r\n- we are sending telemetry events for the actions listed in the requirements\r\n- we have documented the telemetry\r\n- we have asked a data steward to [review](https://github.com/mozilla/data-review/blob/master/request.md) the telemetry\r\n- not an ac: data science to create dashboard or further graphs (this will be a separate issue, this issue is only about hooking up the events described and that they can be queried in re-dash)\r\n""",feature search
closed,show zone configuration for table table name partition partition name doesnt work,"""**describe the problem**\r\n\r\ni partitioned a table, created replication zones for the partition, viewed one of the replication zones with the `show zone configuration for partition <partition_name> of table <table_name>` syntax (this worked), and then tried to do the same thing with the `show zone configuration for table <table_name> partition <partition_name>` syntax (didn't work).\r\n\r\n**cockroach version**\r\n\r\n```\r\n~$ cockroach version\r\nbuild tag:    v2.2.0-alpha.20190211-100-g10f8010fa5-dirty\r\nbuild time:   2019/02/13 03:42:25\r\ndistribution: ccl\r\nplatform:     darwin amd64 (x86_64-apple-darwin17.7.0)\r\ngo version:   go1.11\r\nc compiler:   4.2.1 compatible apple llvm 10.0.0 (clang-1000.10.44.4)\r\nbuild sha-1:  10f8010fa5778e740c057905e2d7664b5fd5d647\r\nbuild type:   development\r\n```\r\n\r\n**to reproduce**\r\n\r\n1. start up a local cluster.\r\n\r\n2. open the sql shell.\r\n\r\n3. set an enterprise license.\r\n\r\n4. create a database:\r\n\r\n```\r\ncreate database roachlearn;\r\n```\r\n\r\n5. create a table with partitions:\r\n\r\n```\r\ncreate table roachlearn.students (\r\n    id int default unique_rowid(),\r\n    name string,\r\n    email string,\r\n    country string,\r\n    expected_graduation_date date,   \r\n    primary key (country, id))\r\n    partition by list (country) (\r\n      partition north_america values in ('ca','us'),\r\n      partition europe values in ('de', 'ch'),\r\n      partition australia values in ('au','nz'),\r\n      partition default values in (default)\r\n    );\r\n```\r\n\r\n6. create replication zones for partitions:\r\n\r\n```\r\nalter partition north_america of table roachlearn.students     configure zone using constraints='[+region=us]';\r\n\r\nalter partition europe of table roachlearn.students     configure zone using constraints='[+region=de]';\r\nalter partition australia of table roachlearn.students     configure zone using constraints='[+region=aus]';\r\n```\r\n\r\n7. view the replication zone for one of the partitions:\r\n\r\n```\r\nshow zone configuration for partition north_america of table roachlearn.students;\r\n              zone_name             |                                           config_sql\r\n+-----------------------------------+------------------------------------------------------------------------------------------------+\r\n  roachlearn.students.north_america | alter partition north_america of index roachlearn.public.students@primary configure zone using\r\n                                    |     range_min_bytes = 16777216,\r\n                                    |     range_max_bytes = 67108864,\r\n                                    |     gc.ttlseconds = 90000,\r\n                                    |     num_replicas = 3,\r\n                                    |     constraints = '[+region=us]',\r\n                                    |     lease_preferences = '[]'\r\n(1 row)\r\n```\r\n\r\n8. try to use an alternative syntax to view the replication zone:\r\n\r\n```\r\nshow zone configuration for table roachlearn.students partition north_america;\r\n  zone_name |                config_sql\r\n+-----------+------------------------------------------+\r\n  .default  | alter range default configure zone using\r\n            |     range_min_bytes = 16777216,\r\n            |     range_max_bytes = 67108864,\r\n            |     gc.ttlseconds = 90000,\r\n            |     num_replicas = 3,\r\n            |     constraints = '[]',\r\n            |     lease_preferences = '[]'\r\n(1 row)\r\n```\r\n""",sql syntax
closed,add ice and snow melt flag general flag category,"""could be useful in some cases.""",enhancement
closed,vulnerability ddos,"""project  :  apitestuat\n\ntemplate  :  apiv1projectsgetqueryparampageddos\n\nrun id  :  <html><a href=https://18.144.40.113/#/app/projects/8a8080d96a217723016a2469e26f03cb/jobs/8a8080d96a217723016a2483bdc15976/runs/8a8080d96a217723016a2485537a5978>8a8080d96a217723016a2485537a5978</a></html>\n\njob  :  job\n\nenv  :  default\n\ncategory  :  ddos\n\ntags  :  [[pci dss 3.0] 6.5.2, fx top 10 - api vulnerability, intrusive]\n\nseverity  :  major\n\nregion  :  us_west_2\n\nresult  :  fail\n\nstatus code  :  404\n\nheaders  :  {x-content-type-options=[nosniff], x-xss-protection=[1; mode=block], cache-control=[no-cache, no-store, max-age=0, must-revalidate], pragma=[no-cache], expires=[0], x-frame-options=[deny], set-cookie=[session=mwzizjm1nmetnzzjyi00zwmzlwjinzetzwi5nzy0mzayymfk; path=/; httponly], content-type=[application/json;charset=utf-8], transfer-encoding=[chunked], date=[tue, 16 apr 2019 05:01:26 gmt]}\n\nendpoint  :  http://13.56.210.25/api/v1/api/v1/projects?page=101\n\nrequest  :  \n\n\nresponse  :  \n{\n  \""timestamp\"" : \""2019-04-16t05:01:26.746+0000\"",\n  \""status\"" : 404,\n  \""error\"" : \""not found\"",\n  \""message\"" : \""no message available\"",\n  \""path\"" : \""/api/v1/api/v1/projects\""\n}\n\nlogs  :  \ncom.fxlabs.fxt.bot.assertions.assertionlogger@7e54da53\n--- fx bot ---""",apitestuat
